,ID,Category,ID Category,Asset ID,Asset Name,Purchase Date,Cost (Finance),Cost (GA & Supply Chain),PIC,Department,Site,ID Site,Brand,Model,Serial Number,Notes,Status,Price
,28-Apr-25,"Rp8,500,000","Rp8,500,000",Joko Prihono,QA/QC,Deltamas 1,2,,,,,Active,,,,,,
3,FA003,Elektronik,I,FA003/I/01,HARDISK SEAGATE SRD0NF1,11-May-15,"Rp580,000",,Adi Kusumah,Engineering,BSD,1,,,,,Active,
5,FA005,Furniture,II,FA005/II/01,RAK,05-Sep-15,"Rp1,787,190",,,,BSD,1,,,,,Broken,
6,FA006,Furniture,II,FA006/II/01,MEJA PRINTER KOTAK,07-Sep-15,"Rp3,034,500",,Herfian,Engineering,BSD,1,,,,,Active,
7,FA007,Furniture,II,FA007/II/01,LEMARI,01-Oct-15,"Rp570,000",,,,BSD,1,,,,,Broken,
8,FA008,Furniture,II,FA008/II/01,KIPAS,02-Oct-15,"Rp220,000",,,,BSD,1,,,,,Broken,
11,FA011,Laptop and Komp,III,FA011/III/01,LAPTOP HP I3,01-Nov-16,"Rp6,540,000",,,Engineering,BSD,1,HP,,,,Active,
12,FA012,Elektronik,I,FA012/I/01,MESIN ABSEN,01-Jun-16,"Rp1,500,000",,,,BSD,1,,,,,Broken,
15,FA015,Furniture,II,FA015/II/01,HECTOR OFFICE TABLE WALNUT BLACK,01-Apr-16,"Rp750,000",,Corneleo,Sales & Marketing,BSD,1,,,,,Active,
16,FA016,Laptop and Komp,III,FA016/III/01,LAPTOP ASUS ROG GL553V,01-Jan-17,"Rp21,000,000",,Adi Kusumah,Engineering,BSD,1,Asus,,,,Active,
18,FA018,Laptop and Komp,III,FA018/III/01,LAPTOP ROG GL552VX,01-Sep-17,"Rp13,050,000",,,Engineering,BSD,1,Asus,,,,Active,
19,FA019,Machine and Tooling,V,FA019/V/02,PRINTER 3D,01-Sep-17,"Rp3,275,000",,,,Deltamas 1,2,,,,,,
21,FA021,Furniture,II,FA021/II/01,HECTOR OFFICE TABLE WALNUT BLACK,01-Feb-18,"Rp1,400,000",,,HRGA & Legal,BSD,1,,,,,Active,
22,FA022,Laptop and Komp,III,FA022/III/01,LAPTOP,01-Feb-18,"Rp14,548,800",,Hari TM,Engineering,BSD,1,,,,,Active,
23,FA023,Elektronik,I,FA023/I/01,Laptop Dell G5590,01-Mar-18,"Rp31,200,000",,Agus RH,Engineering,BSD,1,Asus,,,,Active,
26,FA026,Laptop and Komp,III,FA026/III/01,3 MONITOR + KEYBOARD 2 + MOUSE 2 + ACC + KABEL VGA + KABEL USG EXT STD,01-May-18,"Rp4,920,000",,Bilkis Ismail,PITD,BSD,1,,,,,Active,
26,FA026.1,Laptop and Komp,III,FA026.1/III/01,3 MONITOR + KEYBOARD 2 + MOUSE 2 + ACC + KABEL VGA + KABEL USG EXT STD,01-May-18,"Rp4,920,000",,Rifky Fauzi,Engineering,BSD,1,,,,,Active,
26,FA026.2,Laptop and Komp,III,FA026.2/III/01,3 MONITOR + KEYBOARD 2 + MOUSE 2 + ACC + KABEL VGA + KABEL USG EXT STD,01-May-18,"Rp4,920,000",,Dimas,HRGA & Legal,BSD,1,,,,,Active,
27,FA027,Elektronik,I,FA027/I/01,Camera Sony A6400,05-Jun-18,"Rp9,500,032",,Yogie,Business & Digital Development,BSD,1,Sony,,,,Active,
28,FA028,Laptop and Komp,III,FA028/III/01,Lenovo IP1205,06-Jul-18,"Rp3,900,000",,Rispandi,HRGA & Legal,BSD,1,Lenovo,,,Tidak terpakai ada di lemari HRGA,Active,
29,FA029,Machine and Tooling,V,FA029/V/02,3D PRINTER,02-Aug-18,"Rp2,953,007",,,,Deltamas 1,2,,,,,,
31,FA031,Machine and Tooling,V,FA031/V/01,3D PRINTER ANYCUBIC PHOTON,05-Oct-18,"Rp8,190,000",,Agus RH,Engineering,BSD,1,Anycubic,,,,Active,
34,FA034,Laptop and Komp,III,FA034/III/02,LAPTOP ASUS A407 MA N4000 4GB 128 SSD 14',08-Apr-19,"Rp4,116,265",,Rino,Supply Chain,Deltamas 1,2,Asus,,,,Active,
35,FA035,Elektronik,I,FA035/I/02,AC GREE GWC 05C3E INDOOR + OUTDOOR (1/2 PK),02-Aug-19,"Rp2,799,000",,Rino,HRGA & Legal,Deltamas 1,2,Gree,,,,Active,
36,FA036.1,Elektronik,I,FA036.1/I/02,AC GREE GWC 09C3E INDOOR + OUTDOOR (1 PK),02-Aug-19,"Rp3,049,000",,Rino,HRGA & Legal,Deltamas 1,2,Gree,,,,Active,
37,FA036.2,Elektronik,I,FA036.2/I/02,AC GREE GWC 09C3E INDOOR + OUTDOOR (1 PK),02-Aug-19,"Rp3,049,000",,Rino,HRGA & Legal,Deltamas 1,2,Gree,,,,Active,
38,FA036.3,Elektronik,I,FA036.3/I/03,AC GREE GWC 09C3E INDOOR + OUTDOOR (1 PK),02-Aug-19,"Rp3,049,000",,Rino,HRGA & Legal,Deltamas 2,3,Gree,,,,Active,
40,FA038.1,Furniture,II,FA038.1/II/02,KNOXHULT BASE CB W DRS/DRW 120 WHI,13-Aug-19,"Rp2,550,000",,,,Deltamas 1,2,,,,,Broken,
41,FA038.2,Furniture,II,FA038.2/II/03,KNOXHULT BASE CB W DOORS 80X85 WHITE AP,13-Aug-19,"Rp1,500,000",,Rino,HRGA & Legal,Deltamas 2,3,Knoxhult,,,,Active,
42,FA039.1,Furniture,II,FA039.1/II/01,LOMO WORKING CHAIR LOW BACK BL 15,15-Aug-19,"Rp799,500",,Herfian,Engineering,BSD,1,Informa,,,,Active,
43,FA039.2,Furniture,II,FA039.2/II/01,LOMO WORKING CHAIR LOW BACK BL 15,15-Aug-19,"Rp799,500",,Bilkis Ismail,PITD,BSD,1,Informa,,,,Active,
44,FA039.3,Furniture,II,FA039.3/II/01,LOMO WORKING CHAIR LOW BACK BL 15,15-Aug-19,"Rp799,500",,,Finance & Accounting,BSD,1,Informa,,,,Active,
45,FA039.4,Furniture,II,FA039.4/II/01,LOMO WORKING CHAIR LOW BACK BL 15,15-Aug-19,"Rp799,500",,Audrey,Finance & Accounting,BSD,1,Informa,,,,Active,
46,FA039.5,Furniture,II,FA039.5/II/01,LOMO WORKING CHAIR LOW BACK BL 15,15-Aug-19,"Rp799,500",,Daniella,HRGA & Legal,BSD,1,Informa,,,,Active,
47,FA039.6,Furniture,II,FA039.6/II/01,LOMO WORKING CHAIR LOW BACK BL 15,15-Aug-19,"Rp799,500",,,PITD,BSD,1,Informa,,,,Active,
48,FA039.7,Furniture,II,FA039.7/II/01,LOMO WORKING CHAIR LOW BACK BL 15,15-Aug-19,"Rp799,500",,Hari TM,Engineering,BSD,1,Informa,,,,,
49,FA039.8,Furniture,II,FA039.8/II/01,LOMO WORKING CHAIR LOW BACK BL 15,15-Aug-19,"Rp799,500",,Arina,HRGA & Legal,BSD,1,Informa,,,,Active,
50,FA039.9,Furniture,II,FA039.9/II/01,NEWVY 4 TIER BLACK,15-Aug-19,"Rp759,000",,Chendy,BOD,BSD,1,Informa,,,,Active,
51,FA040.1,Furniture,II,FA040.1/II/01,ZEDD STAFF CHAIR LOW BACK GREY,15-Aug-19,"Rp899,500",,,HRGA & Legal,BSD,1,Informa,,,,Active,
52,FA040.2,Furniture,II,FA040.2/II/01,ZEDD STAFF CHAIR LOW BACK GREY,15-Aug-19,"Rp899,500",,Chendy,BOD,BSD,1,Informa,,,,Active,
53,FA040.3,Furniture,II,FA040.3/II/01,ZEDD STAFF CHAIR LOW BACK GREY,15-Aug-19,"Rp899,500",,Rubi,PITD,BSD,1,Informa,,,,Active,
54,FA040.4,Furniture,II,FA040.4/II/01,ZEDD STAFF CHAIR LOW BACK GREY,15-Aug-19,"Rp899,500",,,Business & Digital Development,BSD,1,Informa,,,,Active,
55,FA040.5,Furniture,II,FA040.5/II/01,ZEDD STAFF CHAIR LOW BACK GREY,15-Aug-19,"Rp899,500",,,,BSD,1,Informa,,,,Broken,
56,FA040.6,Furniture,II,FA040.6/II/01,ZEDD STAFF CHAIR LOW BACK GREY,15-Aug-19,"Rp899,500",,,,BSD,1,Informa,,,,Broken,
57,FA040.7,Furniture,II,FA040.7/II/01,ZEDD STAFF CHAIR LOW BACK GREY,15-Aug-19,"Rp899,500",,,,BSD,1,Informa,,,,Broken,
58,FA040.8,Furniture,II,FA040.8/II/01,ZEDD STAFF CHAIR LOW BACK GREY,15-Aug-19,"Rp899,500",,,,BSD,1,Informa,,,,Broken,
59,FA040.9,Furniture,II,FA040.9/II/01,MELVILLE BAR TABLE 180X70X105 CM BROWN,15-Aug-19,"Rp2,999,000",,Dimas,HRGA & Legal,BSD,1,,,,,Active,
60,FA040.10,Furniture,II,FA040.10/II/01,LAREDO BAR CHAIR BLACK,15-Aug-19,"Rp389,000",,Dimas,HRGA & Legal,BSD,1,Informa,,,,Active,
61,FA040.11,Furniture,II,FA040.11/II/01,LAREDO BAR CHAIR BLACK,15-Aug-19,"Rp389,000",,Dimas,HRGA & Legal,BSD,1,Informa,,,,Active,
62,FA040.12,Furniture,II,FA040.12/II/01,LAREDO BAR CHAIR BLACK,15-Aug-19,"Rp389,000",,Dimas,HRGA & Legal,BSD,1,Informa,,,,Active,
63,FA040.13,Furniture,II,FA040.13/II/01,LAREDO BAR CHAIR BLACK,15-Aug-19,"Rp389,000",,Dimas,HRGA & Legal,BSD,1,Informa,,,,Active,
64,FA040.14,Furniture,II,FA040.14/II/01,LAREDO BAR CHAIR BLACK,15-Aug-19,"Rp389,000",,Dimas,HRGA & Legal,BSD,1,Informa,,,,Active,
65,FA040.15,Furniture,II,FA040.15/II/01,LAREDO BAR CHAIR BLACK,15-Aug-19,"Rp389,000",,Dimas,HRGA & Legal,BSD,1,Informa,,,,Active,
66,FA040.16,Furniture,II,FA040.16/II/01,HECTOR OFFICE TABLE WALNUT BLACK,15-Aug-19,"Rp999,000",,Hari TM,Engineering,BSD,1,Informa,,,,Active,
67,FA040.17,Furniture,II,FA040.17/II/01,HECTOR OFFICE TABLE WALNUT BLACK,15-Aug-19,"Rp999,000",,,PITD,BSD,1,Informa,,,,Active,
68,FA040.18,Furniture,II,FA040.18/II/01,HECTOR OFFICE TABLE WALNUT BLACK,15-Aug-19,"Rp999,000",,,Finance & Accounting,BSD,1,Informa,,,,Active,
69,FA040.19,Furniture,II,FA040.19/II/01,HECTOR OFFICE TABLE WALNUT BLACK,15-Aug-19,"Rp999,000",,Rubi,PITD,BSD,1,Informa,,,,Active,
70,FA040.20,Furniture,II,FA040.20/II/01,HECTOR OFFICE TABLE WALNUT BLACK,15-Aug-19,"Rp999,000",,Marcel,PITD,BSD,1,Informa,,,,Active,
71,FA040.21,Furniture,II,FA040.21/II/01,HECTOR OFFICE TABLE WALNUT BLACK,15-Aug-19,"Rp999,000",,Rifky Fauzi,Engineering,BSD,1,Informa,,,,Active,
72,FA040.22,Furniture,II,FA040.22/II/01,HECTOR OFFICE TABLE WALNUT BLACK,15-Aug-19,"Rp999,000",,Fitria,Finance & Accounting,BSD,1,Informa,,,,Active,
73,FA040.23,Furniture,II,FA040.23/II/01,MAINE DSTP+MDSTY MGR DESK 160 KW-R(P1/3),15-Aug-19,"Rp1,942,000",,,,BSD,1,,,,,,
76,FA040.26,Furniture,II,FA040.26/II/01,MAINE DESKTOP+MDSTY STFDSK 140KW (P1/3),15-Aug-19,"Rp1,016,000",,Joseline,BOD,BSD,1,,,,,Active,
77,FA040.27,Furniture,II,FA040.27/II/01,MAINE PEDESTAL STAFF DSK 140 KW (P3/3),15-Aug-19,"Rp883,000",,Joseline,BOD,BSD,1,,,,,Active,
78,FA040.28,Furniture,II,FA040.28/II/01,MAINE LEG+HRDWR STF DESK 140 KW (P2/3),15-Aug-19,"Rp800,000",,Joseline,BOD,BSD,1,,,,,Active,
79,FA040.29,Furniture,II,FA040.29/II/01,DESKTOP SIEBEN RECT MTG 2412 CO (P1/3),15-Aug-19,"Rp2,099,000",,Hari TM,Engineering,BSD,1,,,,,Active,
82,FA041,Elektronik,I,FA041/I/01,MICROWAVE,01-Aug-18,"Rp1,250,000",,Dimas,HRGA & Legal,BSD,1,,,,,Active,
83,FA042,Elektronik,I,FA042/I/01,DISPENSER,01-Aug-19,"Rp290,000",,,,BSD,1,,,,,Broken,Bocor
84,FA043,Elektronik,I,FA043/I/02,CCTV CAMERA (6) + DVR 8 TITIK + HARDISK 500GB,03-Sep-19,"Rp3,270,000",,,,Deltamas 1,2,,,,,Broken,
85,FA044,Elektronik,I,FA044/I/01,HP PRINTER 2135,03-Sep-19,"Rp565,000",,Chendy,BOD,BSD,1,HP,,,Rumah Pak Chendy,Active,
86,FA045,Machine and Tooling,V,FA045/V/01,SHARK COMPRESSOR OIL FREE,03-Sep-19,"Rp1,300,000",,Chendy,BOD,BSD,1,Shark,,,Rumah Pak Chendy,Active,
87,FA046,Elektronik,I,FA046/I/01,"PHONE TAB A 8"" + SILICON TAB A8"" SAMSUNG",05-Sep-19,"Rp3,860,000",,Dimas,HRGA & Legal,BSD,1,Samsung,Galaxy,,,Active,
88,FA047,Elektronik,I,FA047/I/01,"GIANT - TV LED 40 "" (2UNIT) + BREKET (2PC)",05-Sep-19,"Rp2,449,000",,Daniella,HRGA & Legal,BSD,1,TCL,,,,Active,
88,FA047.1,Elektronik,I,FA047.1/I/01,"GIANT - TV LED 40 "" (2UNIT) + BREKET (2PC)",05-Sep-19,"Rp2,449,000",,Daniella,HRGA & Legal,BSD,1,TCL,,,Proses repair di Pak Chendy,Active,
88,FA047.2,Elektronik,I,FA047.2/I/01,"GIANT - TV LED 40 "" (2UNIT) + BREKET (2PC)",05-Sep-19,"Rp4,898,000",,Daniella,,BSD,1,,,,,,
90,FA049,Machine and Tooling,V,FA049/V/02,MESIN CNC 3018 ENGRAVING MILLING ER11,01-Sep-19,"Rp1,775,427",,,Engineering,Deltamas 1,2,,,,Di Pak Hari,Broken,
91,FA050,Elektronik,I,FA050/I/01,PRINTER THERMAL,01-Sep-19,"Rp1,605,000",,Daniella,HRGA & Legal,BSD,1,Enibit,,,,Active,
92,FA051,Furniture,II,FA051/II/01,RAK STORAGE INFORMA,01-Nov-19,"Rp1,099,000",,Corneleo,Sales & Marketing,BSD,1,Informa,,,,Active,
93,FA052,Furniture,II,FA052/II/02,RAK STORAGE INFORMA 2 UNIT,10-Dec-19,"Rp1,099,000",,,,Deltamas 1,2,Informa,,,Terguyur hujan saat pindah,Broken,
93,FA052.1,Furniture,II,FA052.1/II/03,RAK STORAGE INFORMA 2 UNIT,10-Dec-19,"Rp1,099,000",,Rino,HRGA & Legal,Deltamas 2,3,Informa,,,,Active,
94,FA053,Machine and Tooling,V,FA053/V/02,"COMPRESSOR, AIRBRUSH",28-Jan-20,"Rp1,991,700",,,,Deltamas 1,2,Swan,,,"Airbrush ada di Deltamas, Compressor belum ketemu",,
95,FA054.1,Furniture,II,FA054.1/II/01,HECTOR OFFICE TABLE WALNUT BLACK,10-Feb-20,"Rp726,360",,Arina,HRGA & Legal,BSD,1,Informa,,,,Active,
96,FA054.2,Furniture,II,FA054.2/II/01,MJOLNIR STAFF CHAIR LOW BACK BLACK,10-Feb-20,"Rp617,730",,Shela Oktania,BOD,BSD,1,Informa,,,,Active,
97,FA054.3,Furniture,II,FA054.3/II/01,MJOLNIR STAFF CHAIR LOW BACK BLACK,10-Feb-20,"Rp617,730",,Felix Firmansyah,Finance & Accounting,BSD,1,Informa,,,,Active,
98,FA055,Furniture,II,FA055/II/01,LEO TASK CHAIR BLACK,10-Mar-20,"Rp790,000",,,Engineering,BSD,1,Informa,,,,Active,
99,FA056,Elektronik,I,FA056/I/01,PRINTER,17-Jun-19,"Rp31,228,995",,,,BSD,1,,,,,,
105,FA062,Elektronik,I,FA062/I/01,HARDISK EKSTERNAL 1 TB - HITAM - TOSHIBA,01-Apr-21,"Rp688,000",,Adi Kusumah,Engineering,BSD,1,Toshiba,,,,Active,
106,FA063,Elektronik,I,FA063/I/01,PEMBELIAN HP UNTUK MARKETING,07-Jul-21,"Rp3,218,000",,Carissa,HRGA & Legal,BSD,1,Xiaomi,,,,Active,
107,FA064,Laptop and Komp,III,FA064/III/01,LENOVO IDEPAD SLIM 3I I5 10210 8GB 512SSD MX330 2G W11+OHS21 14.OFHD,10-Nov-21,"Rp10,239,000",,Alvin,Supply Chain,BSD,1,Lenovo,,,,Active,
108,FA065,Elektronik,I,FA065/I/02,PRINTER EPSON L3210,01-Apr-22,"Rp2,325,000",,Rino,HRGA & Legal,Deltamas 1,2,Epson,,,,Active,
109,FA066,Laptop and Komp,III,FA066/III/01,ASUS TUF | FX506HC | I535B6TO11 |8GB 512SSD RTX3050 4GB GRY,01-Aug-22,"Rp13,100,000",,Corneleo,Sales & Marketing,BSD,1,Asus,,,,Active,
110,FA067,Machine and Tooling,V,FA067/V/01,SIGMAT CALIPER 300MM | INSIZE,28-Feb-23,,"Rp1,285,100",Hari TM,Engineering,BSD,1,Insize,,,,Active,
111,FA068,Laptop and Komp,III,FA068/III/01,LENOVO VIU 62 141TL | I3-11156U | 8GB | 512GB,01-Aug-22,"Rp6,799,000",,Siska,Finance & Accounting,BSD,1,Lenovo,,,,Active,
112,FA073,Kendaraan,IV,FA073/IV/01,Daihatsu Granmax,01-Sep-22,"Rp142,551,944",,Alvin,Supply Chain,BSD,1,Daihatsu,,,,Active,
113,FA074,Kendaraan,IV,FA074/IV/01,Mitsubishi Xpander,01-Sep-22,"Rp273,690,550",,Rispandi,HRGA & Legal,BSD,1,Mitsubishi,,,,Active,
114,FA069,Laptop and Komp,III,FA069/III/01,LENOVO IDEAPAD SLIM 3 14 ATHLON 3020E 4GB 265SSD,05-Sep-22,"Rp3,603,604",,Tegar Terthio,Sales & Marketing,BSD,1,Lenovo,,,,Active,
115,FA070,Laptop and Komp,III,FA070/III/01,LENOVO FLEX 3 11 2IN1 TOUCH N4020 4GB 265SSD,05-Sep-22,"Rp5,200,000",,Eka Puteri,Sales & Marketing,BSD,1,Lenovo,Flex 3,,,Active,
116,FA071,Furniture,II,FA071/II/01,CARTER CREDENZE 2 SWING DOOR,15-Sep-22,"Rp1,530,631",,Fitria,Finance & Accounting,BSD,1,Carter,,,,Active,
117,FA072,Furniture,II,FA072/II/01,CARTER HIGH CABINET GLASSDOOR,15-Sep-22,"Rp2,771,667",,Fitria,Finance & Accounting,BSD,1,Carter,,,,Active,
118,FA075,Elektronik,I,FA075/I/01,COCOA 43 INCH SMART TV,01-Nov-22,"Rp2,930,575",,Chendy,BOD,BSD,1,Coocaa,,,,Active,
119,FA076,Elektronik,I,FA076/I/01,COCOA 43 INCH SMART TV,01-Nov-22,"Rp2,930,575",,Daniella,HRGA & Legal,BSD,1,Coocaa,,,,Active,
120,FA077,Elektronik,I,FA077/I/02,COCOA 43 INCH SMART TV,01-Nov-22,"Rp2,930,575",,Rino,HRGA & Legal,Deltamas 1,2,Coocaa,,,,Active,
121,FA078,Elektronik,I,FA078/I/02,COCOA 43 INCH SMART TV,01-Nov-22,"Rp2,930,575",,Rino,HRGA & Legal,Deltamas 1,2,Coocaa,,,,Active,
122,FA079,Elektronik,I,FA079/I/01,HP XIAOMI REDMI 10 | 128 GB | BLUE,01-Dec-22,"Rp1,719,600",,Devi Erliani,Supply Chain,BSD,1,Xiaomi,,,,Active,
123,FA080,Furniture,II,FA080/II/01,PAPAN TULIS KACA,01-Dec-22,"Rp2,338,400",,Arina,HRGA & Legal,BSD,1,,,,,Active,
128,FA081,Elektronik,I,FA081/I/03,AC GREE 1 PK DELTAMAS,13-Jan-23,"Rp8,199,000",,Rino,HRGA & Legal,Deltamas 2,3,Gree,,,,Active,
129,FA082,Elektronik,I,FA082/I/03,AC GREE 1 PK DELTAMAS,13-Jan-23,"Rp8,199,000",,Rino,HRGA & Legal,Deltamas 2,3,Gree,,,,Active,
130,FA083,Machine and Tooling,V,FA083/V/02,TROLEY 300 KG DELTAMAS,19-Jan-23,"Rp839,900",,Joko Prihono,QA/QC,Deltamas 1,2,Krisbow,,,Roda rusak,Active,
131,FA084,Furniture,II,FA084/II/02,KURSI KK O2 WHT DELTAMAS,19-Jan-23,"Rp490,990",,,HRGA & Legal,Deltamas 1,2,KK,,,,Active,
132,FA085,Furniture,II,FA085/II/02,KURSI KK O2 WHT DELTAMAS,19-Jan-23,"Rp490,990",,,HRGA & Legal,Deltamas 1,2,KK,,,,Active,
133,FA086,Furniture,II,FA086/II/02,KURSI KK O2 WHT DELTAMAS,19-Jan-23,"Rp490,990",,,HRGA & Legal,Deltamas 1,2,KK,,,,Active,
134,FA087,Furniture,II,FA087/II/02,KURSI KK O2 WHT DELTAMAS,19-Jan-23,"Rp490,990",,Rino,HRGA & Legal,Deltamas 1,2,KK,,,,Active,
135,FA088,Furniture,II,FA088/II/02,MEJA MT SN 1207 SOL (DELTAMAS),19-Jan-23,"Rp490,990",,Rino,HRGA & Legal,Deltamas 1,2,MT SN,,,,Active,
136,FA089,Furniture,II,FA089/II/02,MEJA MT SN 1207 SOL (DELTAMAS),19-Jan-23,"Rp490,990",,Gedeon,HRGA & Legal,Deltamas 1,2,MT SN,,,,Active,
137,FA090,Furniture,II,FA090/II/02,MEJA MT SN 1207 SOL (DELTAMAS),19-Jan-23,"Rp490,990",,Iyan Hardiyansah,HRGA & Legal,Deltamas 1,2,MT SN,,,,Active,
138,FA091,Furniture,II,FA091/II/02,MEJA MT SN 1207 SOL (DELTAMAS),19-Jan-23,"Rp490,990",,Joko Prihono,HRGA & Legal,Deltamas 1,2,MT SN,,,,Active,
139,FA092,Furniture,II,FA092/II/02,LEMARI PENYIMPANAN DELTAMAS,19-Jan-23,"Rp1,689,189",,Rino,HRGA & Legal,Deltamas 1,2,EMPU ADAM,,,,Active,
140,FA093,Furniture,II,FA093/II/02,DISPENSER,19-Jan-23,"Rp979,000",,Diki,HRGA & Legal,Deltamas 1,2,Miyako,,,,Active,
141,FA094,Laptop and Komp,III,FA094/III/01,LENOVO NB YOGA SLIM 7/I5 +11357G/8,14-Jan-23,"Rp10,990,991",,Arina,HRGA & Legal,BSD,1,Lenovo,,,,Active,
142,FA095,Laptop and Komp,III,FA095/III/01,LENOVO IDEAPAD SLIM 1 14 |CELERON N4020 4GB SSD 256GB,16-Jan-23,"Rp4,200,000",,Lut Fatul,Sales & Marketing,BSD,1,Lenovo,,,,Active,
143,FA096,Laptop and Komp,III,FA096/III/01,LENOVO IDEAPAD SLIM 1 14 |CELERON N4020 RAM 4GB SSD 256GB,16-Jan-23,"Rp4,200,000",,Rafida,Supply Chain,BSD,1,Lenovo,,,,Active,
144,FA097,Laptop and Komp,III,FA097/III/01,LENOVO IDEAPAD SLIM 1 14 |CELERON N4020 RAM 4GB SSD 256GB,16-Jan-23,"Rp4,200,000",,Atina,Sales & Marketing,BSD,1,Lenovo,,,,Active,
145,FA098,Laptop and Komp,III,FA098/III/01,DELL VOSTRO V3401 |I3-1005G1 RAM 8GB SSD256GB,16-Jan-23,"Rp5,500,000",,Khrisna,Sales & Marketing,BSD,1,Dell,,,,Active,
146,FA099,Laptop and Komp,III,FA099/III/01,DELL VOSTRO V3401 |I3-1005G1 RAM 8GB SSD256GB,28-Jan-23,"Rp5,450,000",,Audrey,Finance & Accounting,BSD,1,Dell,,,,Active,
147,FA100,Laptop and Komp,III,FA100/III/01,LENOVO IDEAPAD SLIM 1 14 |CELERON N4020 RAM 4GB SSD 256GB,28-Jan-23,"Rp3,950,000",,Devi Erliani,Supply Chain,BSD,1,Lenovo,,,,Active,
148,FA101,Furniture,II,FA101/II/01,LOMO WORKING CHAIR LOW BACK BL 15,28-Jan-23,"Rp783,020",,Siska,Finance & Accounting,BSD,1,Informa,,,,Active,
149,FA102,Furniture,II,FA102/II/01,LOMO WORKING CHAIR LOW BACK BL 15,28-Jan-23,"Rp783,020",,Rafida,Supply Chain,BSD,1,Informa,,,,Active,
150,FA103,Furniture,II,FA103/II/01,LOMO WORKING CHAIR LOW BACK BL 15,28-Jan-23,"Rp783,020",,,Business & Digital Development,BSD,1,Informa,,,,Active,
151,FA104,Furniture,II,FA104/II/01,HECTOR OFFICE TABLE WALNUT BLACK,28-Jan-23,"Rp980,000",,,PITD,BSD,1,Informa,,,,Active,
152,FA105,Elektronik,I,FA105/I/01,FEIYUTECH G6 MAX 3-AXIS UHANDHELD GIMBAL,02-Feb-23,"Rp3,037,000",,Yogie,Business & Digital Development,BSD,1,Feiyutech,,,,Active,
153,FA106,Elektronik,I,FA106/I/01,HDD HARDDISK EXTERNAL TOSHIBA CANVIO 1TB,02-Feb-23,"Rp604,600",,,,BSD,1,Toshiba,,,,,
154,FA107,Elektronik,I,FA107/I/01,Camera Sony A6000,02-Feb-23,"Rp13,337,900",,Fattah,Business & Digital Development,BSD,1,Sony,,,,Active,
155,FA108,Elektronik,I,FA108/I/01,LENSA CAMERA (Lensa SONY FE 50 MM),02-Feb-23,"Rp3,438,700",,Yogie,Business & Digital Development,BSD,1,Sony,,,,Active,
156,FA109,Machine and Tooling,V,FA109/V/02,MAKITA 95538 GERINDA TANGAN 4 INC,06-Feb-23,"Rp725,000",,Joko Prihono,QA/QC,Deltamas 1,2,Makita,,,,Active,
157,FA110,Furniture,II,FA110/II/01,HECTOR OFFICE TABLE WALNUT BLACK,09-Feb-23,"Rp854,960",,,Business & Digital Development,BSD,1,Informa,,,,Active,
158,FA111,Furniture,II,FA111/II/01,HECTOR OFFICE TABLE WALNUT BLACK,09-Feb-23,"Rp854,960",,Siska,Finance & Accounting,BSD,1,Informa,,,,Active,
159,FA112,Furniture,II,FA112/II/01,COSMO OFFICE CHAIR LOW BACK BLACK,09-Feb-23,"Rp494,600",,Hari TM,Engineering,BSD,1,Informa,,,,Active,
160,FA113,Furniture,II,FA113/II/01,COSMO OFFICE CHAIR LOW BACK BLACK,09-Feb-23,"Rp494,600",,Khrisna,Sales & Marketing,BSD,1,Informa,,,,Active,
161,FA114,Furniture,II,FA114/II/02,COSMO OFFICE CHAIR LOW BACK BLACK DELTAMAS,09-Feb-23,"Rp494,600",,Rino,HRGA & Legal,Deltamas 1,2,Informa,,,,Active,
