,ID,Category,ID Category,Asset ID,Asset Name,Purchase Date,Cost (Finance),Cost (GA & Supply Chain),PIC,Department,Site,ID Site,Brand,Model,Serial Number,Notes,Status,Price
162,FA115,Furniture,II,FA115/II/01,COSMO OFFICE CHAIR LOW BACK BLACK,09-Feb-23,"Rp494,600",,Gilbert Bagas,Supply Chain,BSD,1,Informa,,,,Active,
163,FA116,Laptop and Komp,III,FA116/III/01,LENOVO IDEAPAD 3 14 i5 1035G1 8GB 256SSD W10 14.0FHD,15-Feb-23,"Rp8,807,102",,Melisa,Business & Digital Development,BSD,1,Lenovo,,,,Broken,
164,FA117,Laptop and Komp,III,FA117/III/01,LENOVO IDEAPAD SLIM 3I I5-1235U 512GB SSD 8GB ABYSS BLUE,16-Feb-23,"Rp8,647,748",,Stefanus,BOD,BSD,1,Lenovo,,,,Active,
165,FA118,Laptop and Komp,III,FA118/III/02,LENOVO IDEAPAD SLIM 3I I5-1235U 512GB SSD 8GB ABYSS BLUE,16-Feb-23,"Rp8,647,748",,Joko Prihono,QA/QC,Deltamas 1,2,Lenovo,,,,Active,
166,FA119,Machine and Tooling,V,FA119/V/02,KRISBOW HAND PALLET MANUAL NYLON 55X115 CM 3 TON,21-Feb-23,"Rp4,670,500",,Joko Prihono,QA/QC,Deltamas 1,2,Krisbow,,,,Active,
167,FA120,Elektronik,I,FA120/I/01,STRIDER KERTAS,20-Feb-23,"Rp782,000",,Arina,Finance & Accounting,BSD,1,Deli,,,,Active,
168,FA121,Elektronik,I,FA121/I/02,KAMERA CCTV & ASURANSI,20-Feb-23,"Rp887,250",,Rino,HRGA & Legal,Deltamas 1,2,Kris,,,,Active,
169,FA122,Elektronik,I,FA122/I/02,KAMERA CCTV & ASURANSI,20-Feb-23,"Rp887,250",,Rino,HRGA & Legal,Deltamas 1,2,Kris,,,,Active,
170,FA123,Elektronik,I,FA123/I/02,KAMERA CCTV & ASURANSI,20-Feb-23,"Rp887,250",,Rino,HRGA & Legal,Deltamas 1,2,Kris,,,,Active,
171,FA124,Elektronik,I,FA124/I/02,KAMERA CCTV & ASURANSI,20-Feb-23,"Rp887,250",,Rino,HRGA & Legal,Deltamas 1,2,Kris,,,,Active,
172,FA125,Elektronik,I,FA125/I/02,KAMERA CCTV & ASURANSI,20-Feb-23,"Rp887,250",,Rino,HRGA & Legal,Deltamas 1,2,Kris,,,,Active,
173,FA126,Elektronik,I,FA126/I/02,KAMERA CCTV & ASURANSI,20-Feb-23,"Rp887,250",,Rino,HRGA & Legal,Deltamas 1,2,Kris,,,,Active,
174,FA127,Elektronik,I,FA127/I/02,KAMERA CCTV & ASURANSI,20-Feb-23,"Rp887,250",,Rino,HRGA & Legal,Deltamas 1,2,Kris,,,,Active,
175,FA128,Elektronik,I,FA128/I/02,KAMERA CCTV & ASURANSI,20-Feb-23,"Rp887,250",,Rino,HRGA & Legal,Deltamas 1,2,Kris,,,,Active,
176,FA129,Elektronik,I,FA129/I/02,KAMERA CCTV & ASURANSI,20-Feb-23,"Rp887,250",,Rino,HRGA & Legal,Deltamas 1,2,Kris,,,,Active,
177,FA130,Elektronik,I,FA130/I/02,KAMERA CCTV & ASURANSI,20-Feb-23,"Rp887,250",,Rino,HRGA & Legal,Deltamas 1,2,Kris,,,,Active,
178,FA131,Elektronik,I,FA131/I/02,KAMERA CCTV & ASURANSI,20-Feb-23,"Rp887,250",,Rino,HRGA & Legal,Deltamas 1,2,Kris,,,,Active,
179,FA132,Elektronik,I,FA132/I/02,KAMERA CCTV & ASURANSI,20-Feb-23,"Rp887,250",,Rino,HRGA & Legal,Deltamas 1,2,Kris,,,,Active,
180,FA133,Elektronik,I,FA133/I/02,KAMERA CCTV & ASURANSI,20-Feb-23,"Rp887,250",,Rino,HRGA & Legal,Deltamas 1,2,Kris,,,,Active,
181,FA134,Elektronik,I,FA134/I/02,KAMERA CCTV & ASURANSI,20-Feb-23,"Rp887,250",,Rino,HRGA & Legal,Deltamas 1,2,Kris,,,,Active,
182,FA135,Elektronik,I,FA135/I/02,KAMERA CCTV & ASURANSI,20-Feb-23,"Rp887,250",,Rino,HRGA & Legal,Deltamas 1,2,Kris,,,,Active,
183,FA136,Elektronik,I,FA136/I/02,KAMERA CCTV & ASURANSI,20-Feb-23,"Rp887,250",,Rino,HRGA & Legal,Deltamas 1,2,Kris,,,,Active,
184,FA137,Elektronik,I,FA137/I/02,KAMERA EZVIZ,20-Feb-23,"Rp1,199,000",,Rino,HRGA & Legal,Deltamas 1,2,EZVIZ,,,,Active,
185,FA138,Elektronik,I,FA138/I/01,PRINTER EPSON LX 310,21-Feb-23,"Rp4,500,000",,Cokyat,Supply Chain,BSD,1,Epson,,,,Active,
186,FA139,Laptop and Komp,III,FA139/III/01,LENOVO FLEX 5,21-Feb-23,"Rp11,261,261",,Ranti,PITD,BSD,1,Lenovo,,,,Active,
187,FA140,Laptop and Komp,III,FA140/III/01,LENOVO FLEX 5,23-Feb-23,"Rp11,261,261",,Gabriella,PITD,BSD,1,Lenovo,,,,Active,
188,FA141,Laptop and Komp,III,FA141/III/02,PC ADMIN DELTAMAS,21-Feb-23,"Rp3,800,000",,Rino,HRGA & Legal,Deltamas 1,2,,,,,Active,
189,FA142,Laptop and Komp,III,FA142/III/02,PC PAK TRI,21-Feb-23,"Rp11,936,937",,Rino,Engineering,Deltamas 1,2,,,,,Active,
190,FA143,Laptop and Komp,III,FA143/III/01,"PC OTSUKA (Monitor LG, PC, Keyboard)",23-Feb-23,"Rp25,675,676",,Hari TM,Engineering,BSD,1,LG,,,,Active,
191,FA144,Elektronik,I,FA144/I/01,PRINTER EPSON L6490,03-Feb-23,"Rp5,315,315",,Daniella,HRGA & Legal,BSD,1,Epson,,,,Active,
192,FA145,Furniture,II,FA145/II/02,MEJA TULIS ORBITREND COSMIC SERIS CST 1061,28-Feb-23,"Rp850,000",,Harmoko,HRGA & Legal,Deltamas 1,2,,,,,Active,
193,FA146,Elektronik,I,FA146/I/01,"NETAC SSD 1TB NVME, (LAPTOP PAK ADI)",08-Mar-23,"Rp1,621,622",,Adi Kusumah,Engineering,BSD,1,,,,,Active,
194,FA147,Laptop and Komp,III,FA147/III/01,LENOVO IDEAPAD SLIM 5 PRO 14IA P7 I7 1260P 16GB I TB,08-Mar-23,"Rp14,864,872",,Harmoko,Engineering,BSD,1,Lenovo,,,,Active,
195,FA148,Laptop and Komp,III,FA148/III/01,MACBOOK APPMNEJ3I MBP 13.3 SG/M2,08-Mar-23,"Rp22,521,622",,Joseline,PITD,BSD,1,Apple,,,,Active,
196,FA149,Elektronik,I,FA149/I/02,AC DELTAMAS,13-Mar-23,"Rp5,293,874",,Rino,HRGA & Legal,Deltamas 1,2,Sharp,,,,Active,
197,FA150,Laptop and Komp,III,FA150/III/01,LENOVO IDEAPAD FLEX 5 14IUA7 I7 1255U 16GB 512GBSSD,29-Mar-23,"Rp12,927,935",,,PITD,BSD,1,Lenovo,,,,Active,
198,FA151,Elektronik,I,FA151/I/02,XIAOMI REDMI 10 | 6GB/128GB |WHITE,10-Mar-23,"Rp2,323,900",,,Sales & Marketing,Deltamas 1,2,Xiaomi,,,,Active,
199,FA153,Furniture,II,FA153/II/02,MEJA OFFICE STAFF (DELTAMAS),12-Mar-23,"Rp617,500",,,HRGA & Legal,Deltamas 1,2,Informa,,,,Active,
200,FA154,Furniture,II,FA154/II/02,MEJA OFFICE STAFF (DELTAMAS),12-Mar-23,"Rp617,500",,Adelia,HRGA & Legal,Deltamas 1,2,Informa,,,,Active,
201,FA155,Furniture,II,FA155/II/02,MEJA OFFICE STAFF (DELTAMAS),12-Mar-23,"Rp617,500",,,HRGA & Legal,Deltamas 1,2,Informa,,,,Active,
202,FA156,Furniture,II,FA156/II/02,MEJA OFFICE STAFF (DELTAMAS),12-Mar-23,"Rp617,500",,,HRGA & Legal,Deltamas 1,2,Informa,,,,Active,
203,FA157,Furniture,II,FA157/II/02,KURSI OFFICE STAFF (DELTAMAS),12-Mar-23,"Rp617,500",,Adelia,HRGA & Legal,Deltamas 1,2,,,,,Active,
204,FA158,Furniture,II,FA158/II/02,KURSI OFFICE STAFF (DELTAMAS),12-Mar-23,"Rp617,500",,Iyan Hardiyansah,HRGA & Legal,Deltamas 1,2,,,,,Active,
205,FA159,Furniture,II,FA159/II/02,KURSI OFFICE STAFF (DELTAMAS),12-Mar-23,"Rp617,500",,Joko Prihono,HRGA & Legal,Deltamas 1,2,,,,,Active,
206,FA160,Furniture,II,FA160/II/02,KURSI OFFICE STAFF (DELTAMAS),12-Mar-23,"Rp617,500",,Gedeon,HRGA & Legal,Deltamas 1,2,,,,,Active,
207,FA161,Furniture,II,FA161/II/02,MOTHANA MEETING TABLE (DELTAMAS),12-Mar-23,"Rp6,120,475",,Rino,HRGA & Legal,Deltamas 1,2,Informa,,,,Active,
208,FA162,Furniture,II,FA162/II/02,SHIELD TASK CHAIR BLACK (DELTAMAS),12-Mar-23,"Rp1,181,275",,Rino,HRGA & Legal,Deltamas 1,2,Sunon,,,,Active,
209,FA163,Furniture,II,FA163/II/02,SHIELD TASK CHAIR BLACK (DELTAMAS),12-Mar-23,"Rp1,181,275",,Rino,HRGA & Legal,Deltamas 1,2,Sunon,,,,Active,
210,FA164,Furniture,II,FA164/II/02,SHIELD TASK CHAIR BLACK (DELTAMAS),12-Mar-23,"Rp1,181,275",,Rino,HRGA & Legal,Deltamas 1,2,Sunon,,,,Active,
211,FA165,Furniture,II,FA165/II/02,SHIELD TASK CHAIR BLACK (DELTAMAS),12-Mar-23,"Rp1,181,275",,Rino,HRGA & Legal,Deltamas 1,2,Sunon,,,,Active,
212,FA166,Furniture,II,FA166/II/02,SHIELD TASK CHAIR BLACK (DELTAMAS),12-Mar-23,"Rp1,181,275",,Rino,HRGA & Legal,Deltamas 1,2,Sunon,,,,Active,
213,FA167,Furniture,II,FA167/II/02,SHIELD TASK CHAIR BLACK (DELTAMAS),12-Mar-23,"Rp1,181,275",,Rino,HRGA & Legal,Deltamas 1,2,Sunon,,,,Active,
214,FA168,Furniture,II,FA168/II/02,JANSON STORAGE SHELVING (DELTAMAS),12-Mar-23,"Rp618,310",,Rino,HRGA & Legal,Deltamas 1,2,Janson,,,,Active,
215,FA169,Furniture,II,FA169/II/02,JANSON STORAGE SHELVING (DELTAMAS),12-Mar-23,"Rp618,310",,Rino,HRGA & Legal,Deltamas 1,2,Janson,,,,Active,
216,FA170,Furniture,II,FA170/II/02,LIVERPOOL WORKING CHAIR HIGH B (DELTAMAS),12-Mar-23,"Rp1,083,275",,Harmoko,HRGA & Legal,Deltamas 1,2,Liverpool,,,,Active,
217,FA171,Furniture,II,FA171/II/02,LIVERPOOL WORKING CHAIR HIGH B (DELTAMAS),12-Mar-23,"Rp1,083,275",,Harmoko,Business & Digital Development,Deltamas 1,2,Liverpool,,,,Active,
218,FA172,Machine and Tooling,V,FA172/V/02,SIGMAT DIGITAL MITUTOYO 200 MM / 8 INCHI / VERNIER CALIPER/ ALAT UKUR,03-Mar-23,"Rp1,471,300",,Iyan Hardiyansah,QA/QC,Deltamas 1,2,Mitutoyo,,,,Active,
219,FA173,Elektronik,I,FA173/I/01,PRINTER EPSON L1300,04-Apr-23,"Rp6,500,000",,Hari TM,Engineering,BSD,1,Epson,,,,Active,
220,FA174,Furniture,II,FA174/II/01,LOMO WORKING CHAIR LOW BACK BL 15,02-Apr-23,"Rp799,000",,Hendra Nur,Supply Chain,BSD,1,Informa,,,,Active,
221,FA175,Furniture,II,FA175/II/01,LOMO WORKING CHAIR LOW BACK BL 15,02-Apr-23,"Rp799,000",,,Business & Digital Development,BSD,1,Informa,,,,Active,
222,FA176,Furniture,II,FA176/II/01,LOMO WORKING CHAIR LOW BACK BL 15,02-Apr-23,"Rp799,000",,Devi Erliani,Supply Chain,BSD,1,Informa,,,,Active,
223,FA177,Furniture,II,FA177/II/01,LOMO WORKING CHAIR LOW BACK BL 15,02-Apr-23,"Rp799,000",,Ranti,PITD,BSD,1,Informa,,,,Active,
224,FA178,Furniture,II,FA178/II/01,LOMO WORKING CHAIR LOW BACK BL 15,02-Apr-23,"Rp799,000",,Yogie,Business & Digital Development,BSD,1,Informa,,,,Active,
225,FA179,Furniture,II,FA179/II/01,LOMO WORKING CHAIR LOW BACK BL 15,02-Apr-23,"Rp799,000",,,Engineering,BSD,1,Informa,,,,Active,
226,FA180,Furniture,II,FA180/II/01,LOMO WORKING CHAIR LOW BACK BL 15,02-Apr-23,"Rp799,000",,Fitria,Finance & Accounting,BSD,1,Informa,,,,Active,
227,FA181,Furniture,II,FA181/II/01,LOMO WORKING CHAIR LOW BACK BL 15,02-Apr-23,"Rp799,000",,Adi Kusumah,Engineering,BSD,1,Informa,,,,Active,
228,FA182,Furniture,II,FA182/II/01,LOMO WORKING CHAIR LOW BACK BL 15,02-Apr-23,"Rp799,000",,Agus RH,Engineering,BSD,1,Informa,,,,Active,
229,FA183,Furniture,II,FA183/II/01,LOMO WORKING CHAIR LOW BACK BL 15,02-Apr-23,"Rp799,000",,Rifky Fauzi,Engineering,BSD,1,Informa,,,,Active,
230,FA184,Furniture,II,FA184/II/01,LOMO WORKING CHAIR LOW BACK BL 15,02-Apr-23,"Rp799,000",,Alvin,Supply Chain,BSD,1,Informa,,,,Active,
231,FA185,Furniture,II,FA185/II/01,LOMO WORKING CHAIR LOW BACK BL 15,02-Apr-23,"Rp799,000",,,Sales & Marketing,BSD,1,Informa,,,,Active,
232,FA186,Furniture,II,FA186/II/01,LOMO WORKING CHAIR LOW BACK BL 15,02-Apr-23,"Rp799,000",,Cokyat,Supply Chain,BSD,1,Informa,,,,Active,
233,FA187,Furniture,II,FA187/II/01,LOMO WORKING CHAIR LOW BACK BL 15,02-Apr-23,"Rp799,000",,Eka Puteri,Sales & Marketing,BSD,1,Informa,,,,Active,
234,FA188,Furniture,II,FA188/II/01,LOMO WORKING CHAIR LOW BACK BL 15,02-Apr-23,"Rp799,000",,Carissa,HRGA & Legal,BSD,1,Informa,,,,Active,
235,FA189,Furniture,II,FA189/II/01,HECTOR OFFICE TABLE WALNUT BLACK,02-Apr-23,"Rp1,198,800",,,Sales & Marketing,BSD,1,Informa,,,,Active,
236,FA190,Furniture,II,FA190/II/01,HECTOR OFFICE TABLE WALNUT BLACK,02-Apr-23,"Rp1,198,800",,Agus RH,Engineering,BSD,1,Informa,,,,Active,
237,FA191,Furniture,II,FA191/II/01,HECTOR OFFICE TABLE WALNUT BLACK,02-Apr-23,"Rp1,198,800",,Devi Erliani,Supply Chain,BSD,1,Informa,,,,Active,
238,FA192,Furniture,II,FA192/II/01,HECTOR OFFICE TABLE WALNUT BLACK,02-Apr-23,"Rp1,198,800",,,Business & Digital Development,BSD,1,Informa,,,,Active,
239,FA193,Furniture,II,FA193/II/01,HECTOR OFFICE TABLE WALNUT BLACK,02-Apr-23,"Rp1,198,800",,Gilbert Bagas,Supply Chain,BSD,1,Informa,,,,Active,
240,FA194,Furniture,II,FA194/II/01,HECTOR OFFICE TABLE WALNUT BLACK,02-Apr-23,"Rp1,198,800",,Fattah,Business & Digital Development,BSD,1,Informa,,,,Active,
241,FA195,Furniture,II,FA195/II/01,HECTOR OFFICE TABLE WALNUT BLACK,02-Apr-23,"Rp1,198,800",,Bilkis Ismail,PITD,BSD,1,Informa,,,,Active,
242,FA196,Furniture,II,FA196/II/01,HECTOR OFFICE TABLE WALNUT BLACK,02-Apr-23,"Rp1,198,800",,,Sales & Marketing,BSD,1,Informa,,,,Active,
243,FA197,Furniture,II,FA197/II/01,HECTOR OFFICE TABLE WALNUT BLACK,02-Apr-23,"Rp1,198,800",,,Engineering,BSD,1,Informa,,,,Active,
244,FA198,Furniture,II,FA198/II/01,HECTOR OFFICE TABLE WALNUT BLACK,02-Apr-23,"Rp1,198,800",,Cokyat,Supply Chain,BSD,1,Informa,,,,Active,
245,FA199,Furniture,II,FA199/II/01,HECTOR OFFICE TABLE WALNUT BLACK,02-Apr-23,"Rp1,198,800",,Carissa,HRGA & Legal,BSD,1,Informa,,,,Active,
246,FA200,Furniture,II,FA200/II/01,HECTOR OFFICE TABLE WALNUT BLACK,02-Apr-23,"Rp1,198,800",,,Sales & Marketing,BSD,1,Informa,,,,Active,
247,FA201,Furniture,II,FA201/II/01,HECTOR OFFICE TABLE WALNUT BLACK,02-Apr-23,"Rp1,198,800",,Hendra Nur,Supply Chain,BSD,1,Informa,,,,Active,
248,FA202,Furniture,II,FA202/II/01,HECTOR OFFICE TABLE WALNUT BLACK,02-Apr-23,"Rp1,198,800",,,HRGA & Legal,BSD,1,Informa,,,,Active,
249,FA203,Furniture,II,FA203/II/01,HECTOR OFFICE TABLE WALNUT BLACK,02-Apr-23,"Rp1,198,800",,Audrey,Finance & Accounting,BSD,1,Informa,,,,Active,
250,FA204,Furniture,II,FA204/II/01,MJOLNIR WORKING CHAIR LOWBACK 4,02-Apr-23,"Rp829,500",,Stefanus,BOD,BSD,1,Informa,,,,Active,
251,FA205,Furniture,II,FA205/II/01,MJOLNIR WORKING CHAIR LOWBACK 4,02-Apr-23,"Rp829,500",,Harmoko,Engineering,BSD,1,Informa,,,,Active,
252,FA206,Furniture,II,FA206/II/01,MJOLNIR WORKING CHAIR LOWBACK 4,02-Apr-23,"Rp829,500",,Chendy,BOD,BSD,1,Informa,,,,Active,
253,FA207,Furniture,II,FA207/II/01,MJOLNIR WORKING CHAIR LOWBACK 4,02-Apr-23,"Rp829,500",,Joseline,BOD,BSD,1,Informa,,,,Active,
254,FA208,Furniture,II,FA208/II/03,JASON STORAGE SHELVING 2,02-Apr-23,"Rp584,550",,,HRGA & Legal,Deltamas 2,3,,,,,Broken,
255,FA209,Furniture,II,FA209/II/03,JASON STORAGE SHELVING 2,02-Apr-23,"Rp584,550",,,HRGA & Legal,Deltamas 2,3,,,,,Broken,
256,FA210,Furniture,II,FA210/II/01,MAINE STAFF DESK 140 KALDI WOO 4,02-Apr-23,"Rp1,959,020",,Felix Firmansyah,Finance & Accounting,BSD,1,,,,,Active,
257,FA211,Furniture,II,FA211/II/01,MAINE STAFF DESK 140 KALDI WOO 4,02-Apr-23,"Rp1,959,020",,Shela Oktania,BOD,BSD,1,,,,,Active,
258,FA212,Furniture,II,FA212/II/01,MAINE STAFF DESK 140 KALDI WOO 4,02-Apr-23,"Rp1,959,020",,Harmoko,Engineering,BSD,1,,,,,Active,
259,FA213,Furniture,II,FA213/II/01,MAINE STAFF DESK 140 KALDI WOO 4,02-Apr-23,"Rp1,959,020",,Stefanus,BOD,BSD,1,,,,,Active,
260,FA214,Furniture,II,FA214/II/01,MANDOLINE CHAIR BLACK 2,02-Apr-23,"Rp939,820",,,HRGA & Legal,BSD,1,,,,,Active,
261,FA215,Furniture,II,FA215/II/01,MANDOLINE CHAIR BLACK 2,02-Apr-23,"Rp939,820",,,HRGA & Legal,BSD,1,,,,,Active,
262,FA216,Furniture,II,FA216/II/01,MILLBURN TABLE DIA52CMXH50CM B,02-Apr-23,"Rp1,273,020",,Hari TM,Engineering,BSD,1,,,,,Active,
263,FA217,Furniture,II,FA217/II/01,CARTER HIGH CABINET GLASSDOOR 2,02-Apr-23,"Rp3,135,000",,Melisa,Business & Digital Development,BSD,1,Carter,,,,Active,
264,FA218,Furniture,II,FA218/II/01,CARTER HIGH CABINET GLASSDOOR 2,02-Apr-23,"Rp3,135,000",,Corneleo,Sales & Marketing,BSD,1,Carter,,,,Active,
265,FA219,Elektronik,I,FA219/I/01,EVAPORATIVE AIR COOLER 2500 CM,03-Apr-23,"Rp3,299,000",,Hari TM,Engineering,BSD,1,,,,,Active,
266,FA220,Elektronik,I,FA220/I/01,VACUUM WET & DRY HOME USE BUD,03-Apr-23,"Rp1,469,000",,Dimas,HRGA & Legal,BSD,1,Krisbow,,,,Active,
267,FA222,Elektronik,I,FA222/I/01,KULKAS POLYTRON HITAM,04-Apr-23,"Rp3,549,000",,Dimas,HRGA & Legal,BSD,1,Polytron,,,,Active,
268,FA223,Elektronik,I,FA223/I/01,DISPENSER SANKEN,04-Apr-23,"Rp1,900,000",,Arina,HRGA & Legal,BSD,1,Sanken,,,,Active,
269,FA224,Furniture,II,FA224/II/01,CARTER HIGH CABINET GLASSDOOR,13-Apr-23,"Rp3,199,000",,Arina,HRGA & Legal,BSD,1,Carter,,,,Active,
270,FA225,Furniture,II,FA225/II/03,JASON STORAGE SHELVING,13-Apr-23,"Rp584,550",,Rino,HRGA & Legal,Deltamas 2,3,,,,,Active,
271,FA226,Furniture,II,FA226/II/03,JASON STORAGE SHELVING,13-Apr-23,"Rp584,550",,Rino,HRGA & Legal,Deltamas 2,3,,,,,Active,
272,FA227,Furniture,II,FA227/II/01,GEMINI DESK CONCRETE,11-Apr-23,"Rp1,999,000",,Chendy,BOD,BSD,1,Informa,,,,Active,
273,FA228,Furniture,II,FA228/II/01,GEMINI CABINET CONCERTA (U/2),11-Apr-23,"Rp2,499,000",,Chendy,BOD,BSD,1,Informa,,,,Active,
274,FA229,Furniture,II,FA229/II/02,PABX DELTAMAS,13-Apr-23,"Rp1,790,200",,Rino,HRGA & Legal,Deltamas 1,2,Panasonic,,,,Active,
275,FA230,Elektronik,I,FA230/I/02,SMART LIFE DOOR LOCK KACA FRAMELESS GLASS TO GLASS DL06,10-Apr-23,"Rp1,585,500",,Dimas,HRGA & Legal,Deltamas 1,2,,,,,Active,
276,FA231,Furniture,II,FA231/II/01,BRACKET STANDING BRECKET STAND TV BRAKET 43-55 INCH,14-Apr-23,"Rp584,500",,Rino,HRGA & Legal,BSD,1,,,,,Active,
277,FA232,Machine and Tooling,V,FA232/V/02,MITUTOYO HIGH GATE 300MM,25-May-23,"Rp12,935,000",,Iyan Hardiyansah,QA/QC,Deltamas 1,2,Mitutoyo,,,,Active,
278,FA233,Machine and Tooling,V,FA233/V/02,MITUTOYO CALIPER 200 MM,25-May-23,"Rp950,000",,Iyan Hardiyansah,QA/QC,Deltamas 1,2,Mitutoyo,,,"Rusak, tidak optimal",Active,
279,FA234,Laptop and Komp,III,FA234/III/01,LENOVO IDEAPAD LIM 3 14IUA7 1255U 8GB,06-May-23,"Rp10,360,368",,Rubi,PITD,BSD,1,Lenovo,,,,Active,
280,FA235,Laptop and Komp,III,FA235/III/01,LENOVO GAMING 3 15ACH6 RYZEN,06-May-23,"Rp11,801,802",,Yogie,Business & Digital Development,BSD,1,Lenovo,,,,Active,
281,FA236,Elektronik,I,FA236/I/01,3200 MBPS WI-FI 6 DUAL BAND GIGABIT MESG ROUTER,10-May-23,"Rp1,260,000",,Arina,HRGA & Legal,BSD,1,Ruijie,,,,Active,
282,FA320,Elektronik,I,FA320/I/01,3200 MBPS WI-FI 6 DUAL BAND GIGABIT MESG ROUTER,10-May-23,"Rp1,260,000",,Hari TM,Engineering,BSD,1,,,,,Active,
283,FA237,Elektronik,I,FA237/I/01,PRINTER EPSON L121 L-121 HITAM PRINT WARNA INFUS MODIF INK TANK PABRIK,10-May-23,"Rp1,860,100",,Rifky Fauzi,Engineering,BSD,1,Epson,,,,Active,
284,FA238,Laptop and Komp,III,FA238/III/01,HP ENVY X360 13 BF0089TU,24-May-23,"Rp14,234,241",,Shela Oktania,HRGA & Legal,BSD,1,HP,,,,Active,
285,FA239,Furniture,II,FA239/II/01,LOMO WORKING CHAIR LOW BACK BL 15,31-May-23,"Rp758,400",,Marcel,PITD,BSD,1,Informa,,,,Active,
286,FA240,Furniture,II,FA240/II/01,LOMO WORKING CHAIR LOW BACK BL 15,31-May-23,"Rp758,400",,Fattah,Business & Digital Development,BSD,1,Informa,,,,Active,
287,FA241,Furniture,II,FA241/II/01,HECTOR OFFICE TABLE WALNUT BLACK,31-May-23,"Rp882,000",,,Business & Digital Development,BSD,1,Informa,,,,Active,
288,FA242,Furniture,II,FA242/II/01,HECTOR OFFICE TABLE WALNUT BLACK,31-May-23,"Rp882,000",,Adi Kusumah,Engineering,BSD,1,Informa,,,,Active,
289,FA247,Kendaraan,IV,FA247/IV/02,Truk Isuzu Elf NKR 55 CC E2-1,01-Jun-23,"Rp140,000,000",,Gilang R,HRGA & Legal,Deltamas 1,2,Isuzu,,,,Active,
290,FA243,Elektronik,I,FA243/I/01,HP SAMSUNG AD44 3/32 BLACK (NEW),07-Jun-23,"Rp1,250,000",,Khrisna,Sales & Marketing,BSD,1,Samsung,,,,Active,
291,FA244,Machine and Tooling,V,FA244/V/01,1 3D SCANNER,16-Sep-15,"Rp164,494,380",,Adi Kusumah,Engineering,BSD,1,,,,,Active,
292,FA245,Machine and Tooling,V,FA245/V/01,1 LICENSE GEOMAGIC,21-Dec-17,"Rp99,528,660",,Adi Kusumah,Engineering,BSD,1,,,,,Active,
293,FA246,Machine and Tooling,V,FA246/V/01,1 HANDHELD 3D SCANNER,15-May-19,"Rp293,425,000",,Adi Kusumah,Engineering,BSD,1,,,,,Active,
294,FA248,Elektronik,I,FA248/I/01,Saramonic Blink 500 PRO X Q20 Wireless Microphone PROX Q20,20-Jun-23,"Rp1,836,500",,Yogie,Business & Digital Development,BSD,1,Saramonic,,,,Active,
295,FA249,Machine and Tooling,V,FA249/V/01,Troli Krisbow Barang 150 Kg,22-Jun-23,"Rp542,210",,Dimas,HRGA & Legal,BSD,1,Krisbow,,,,Active,
296,FA250,Furniture,II,FA250/II/01,SOFA RUANG BOD,05-Jul-23,"Rp2,250,000",,Chendy,BOD,BSD,1,,,,,Active,
297,FA251,Elektronik,I,FA251/I/02,MESIN ABSENSI SOLUTION,14-Jul-23,"Rp1,500,000",,Rino,HRGA & Legal,Deltamas 1,2,Solution,,,,Active,
298,FA252,Elektronik,I,FA252/I/01,SSD M2 NVME / M.2 NVME/ M2NVME 1TB KAIZEN RESMI,20-Jul-23,"Rp627,700",,,Engineering,BSD,1,Kaizen,,,Laptop Pak Hari,Active,
